PathID,PathString
1,S->a1->a2->b1->e1->D
2,S->b1->b2->a1->e0->D
3,S->a1->b2->b1->e1->D
4,S->b1->a2->b3->e5->D
5,S->a1->b2->b1->a2->e2->D
6,S->e0->a1->b2->b1->e1->D
7,S->a1->b2->a3->b4->e7->D
8,S->a1->e0->t8->t7->e8->D
9,S->e0->t17->t18->t19->e2->D
10,S->b1->b2->a3->a4->e6->D
11,S->e0->b5->b4->a5->e8->D
12,S->a1->e0->t17->t18->e1->D
13,S->e0->b5->b6->a7->e3->D
14,S->a1->b2->b3->a4->e6->D
15,S->b1->a2->b3->a4->e6->D
16,S->a1->e0->b5->a4->a5->e8->D
17,S->b1->b2->e3->t2->t1->e2->D
18,S->a1->a2->e2->b6->b7->e4->D
19,S->b1->e1->t0->a9->b8->e6->D
20,S->a1->a2->e2->b6->a5->e8->D
21,S->a1->a2->b3->a4->a5->e8->D
22,S->b1->e1->a6->b7->b6->e2->D
23,S->e0->b5->a4->a5->b6->e2->D
24,S->a1->b2->b3->b4->a3->e4->D
25,S->e0->a1->a2->b3->a4->e6->D
26,S->b1->b2->e3->a7->a8->e5->D
27,S->a1->b2->b1->a2->a3->a4->e6->D
28,S->a1->b2->e3->a7->b8->b9->e8->D
29,S->b1->b2->a1->e0->t17->t16->e8->D
30,S->b1->e1->a6->b7->b6->b5->e0->D
31,S->a1->a2->e2->b6->b7->a8->e5->D
32,S->a1->a2->b3->b4->a3->b2->e3->D
33,S->b1->a2->b3->b4->b5->b6->e2->D
34,S->e0->t17->t16->t15->t14->t13->e5->D
35,S->b1->b2->e3->t2->t3->t4->e5->D
36,S->e0->b5->b4->b3->a4->a3->e4->D
37,S->a1->b2->b3->b4->b5->a6->e1->D
38,S->a1->b2->a3->b4->e7->t6->t7->e8->D
39,S->b1->a2->a3->a4->e6->t14->t13->e5->D
40,S->b1->b2->a1->e0->b5->b4->b3->e5->D
41,S->b1->b2->e3->a7->b6->b5->b4->e7->D
42,S->a1->b2->e3->t20->t19->t18->t17->e0->D
43,S->b1->b2->b3->a2->e2->t10->t11->e3->D
44,S->e0->t8->t9->e1->b1->b2->b3->e5->D
45,S->b1->a2->b3->e5->a8->a9->t0->e1->D
46,S->e0->a1->b2->b3->a4->a5->b4->e7->D
47,S->b1->b2->b3->e5->t13->t14->t15->e7->D
48,S->e0->t17->t16->e8->b9->t0->t1->e2->D
49,S->b1->a2->b3->a4->a3->e4->b7->a6->e1->D
50,S->a1->b2->b3->e5->t4->t5->t6->t7->e8->D
51,S->e0->t8->t9->t10->t11->e3->t20->t19->e2->D
52,S->b1->b2->b3->b4->e7->t6->t5->t4->e5->D
53,S->e0->t17->t16->t15->t14->e6->a4->b3->e5->D
54,S->b1->e1->t0->a9->b8->e6->t14->t15->e7->D
55,S->b1->b2->a3->a2->b3->a4->a5->a6->e1->D
56,S->e0->t8->t9->e1->a6->b7->b8->b9->e8->D
57,S->e0->t17->t16->e8->b9->t0->t1->t2->e3->D
58,S->b1->a2->e2->t1->t2->e3->t11->t12->e4->D
59,S->a1->e0->t8->t9->e1->t0->a9->b8->e6->D
60,S->a1->e0->t8->t7->e8->b9->a8->b7->b6->e2->D
61,S->b1->e1->t18->t17->t16->e8->a5->a6->b7->e4->D
62,S->e0->b5->b6->e2->t19->t20->e3->b2->b1->e1->D
63,S->b1->a2->a1->e0->b5->a6->a7->b8->b7->e4->D
64,S->e0->a1->a2->a3->b2->b3->e5->a8->a7->e3->D
65,S->a1->e0->t8->t9->t10->t11->e3->a7->a6->e1->D
66,S->b1->e1->t18->t19->t20->e3->a7->b8->b7->e4->D
67,S->e0->t17->t16->t15->e7->t6->t7->t8->t9->e1->D
68,S->a1->e0->b5->a4->a5->b4->a3->a2->b3->e5->D
69,S->e0->b5->a4->b3->b4->a3->b2->a1->a2->e2->D
70,S->b1->a2->e2->t1->t0->a9->b8->a7->a8->e5->D
71,S->a1->e0->t8->t9->e1->a6->a7->a8->b7->b8->e6->D
72,S->e0->b5->a4->b3->b4->a5->a6->e1->b1->a2->e2->D
73,S->a1->b2->a3->a4->b3->a2->e2->t1->t0->b9->e8->D
74,S->b1->e1->a6->b5->a4->a3->e4->t12->t11->t10->e2->D
75,S->e0->t17->t16->e8->t7->t6->t5->t4->t3->t2->e3->D
76,S->a1->b2->a3->b4->a5->a6->e1->t9->t10->t11->e3->D
77,S->e0->b5->b6->e2->t10->t9->e1->a6->b7->a8->e5->D
78,S->e0->t17->t16->e8->a5->b6->b5->b4->a3->a4->e6->D
79,S->e0->b5->b4->e7->a9->a8->a7->b8->b7->a6->e1->D
80,S->b1->b2->e3->t20->t19->t18->e1->a6->a7->b8->e6->D
81,S->b1->e1->a6->a5->b6->a7->a8->e5->t4->t3->e4->D
82,S->e0->t17->t16->t15->t14->t13->e5->a8->a7->b6->b7->e4->D
83,S->b1->e1->t0->b9->e8->a5->a6->a7->a8->b7->b6->e2->D
84,S->e0->t17->t18->t19->t20->e3->t11->t12->e4->a3->a2->e2->D
85,S->a1->e0->b5->a4->e6->t14->t13->e5->b3->b2->a3->e4->D
86,S->b1->a2->a1->e0->t17->t18->e1->a6->b7->a8->b9->e8->D
87,S->e0->b5->a4->a5->b6->b7->a6->e1->t0->a9->a8->e5->D
88,S->e0->a1->a2->b3->e5->t4->t3->e4->t12->t11->t10->e2->D
89,S->b1->e1->t18->t19->e2->a2->a3->e4->b7->b6->a5->e8->D
90,S->a1->e0->b5->a4->b3->a2->b1->b2->e3->t2->t1->e2->D
91,S->b1->a2->e2->t1->t2->t3->t4->t5->e6->a4->b3->e5->D
92,S->a1->b2->b3->a2->b1->e1->a6->a5->e8->b9->b8->e6->D
93,S->b1->e1->t18->t17->e0->b5->b4->b3->b2->a1->a2->a3->e4->D
94,S->a1->b2->e3->t11->t12->e4->b7->b8->e6->t5->t6->t7->e8->D
95,S->e0->b5->b6->a7->a8->a9->e7->b4->b3->a2->a3->a4->e6->D
96,S->b1->e1->t18->t19->t20->e3->t2->t3->t4->e5->t13->t14->e6->D
97,S->a1->e0->t17->t18->t19->t20->e3->a7->a8->e5->t13->t12->e4->D
98,S->a1->e0->t8->t7->t6->e7->a9->t0->t1->e2->b6->a5->e8->D
99,S->a1->a2->b1->b2->a3->e4->t12->t11->t10->e2->t1->t0->e1->D
100,S->b1->e1->a6->b5->b6->a7->a8->a9->b8->b9->t0->t1->e2->D
101,S->e0->t17->t18->e1->t9->t8->t7->t6->e7->a9->t0->b9->e8->D
102,S->b1->b2->a3->b4->a5->e8->t7->t8->e0->b5->b6->b7->e4->D
103,S->a1->b2->e3->a7->b8->b9->e8->a5->a6->b7->b6->b5->e0->D
104,S->e0->t8->t7->t6->t5->t4->t3->t2->t1->e2->t10->t11->t12->e4->D
105,S->a1->a2->b3->a4->a5->e8->t7->t8->t9->e1->t0->a9->b8->e6->D
106,S->a1->e0->b5->b6->b7->a6->a7->e3->t2->t3->e4->a3->b4->e7->D
